Component, GAV, License, URL, Scope, Path
jquery.flot,0.7,MIT License,http://www.flotcharts.org/,binary,
jquery.flot.tooltip,0.6.1,MIT License,https://github.com/krzysu/flot.tooltip,binary,
jquery.form.js,6bf24a5f6d8be65f4e5491863180c09356d9dadd,MIT License,https://github.com/malsup/form/,binary,
jquery.hoverIntent,r6,MIT License,http://cherne.net/brian/resources/jquery.hoverIntent.html,binary,
jquery.tipsy,1.0.0a,MIT License,https://github.com/jaz303/tipsy,binary,
jqueryjs,1.7.2,MIT License,http://jquery.com/,binary,
jqueryUI,1.8.11,MIT License,http://jqueryui.com/,binary,
jsinterop-annotations,com.google.jsinterop:jsinterop-annotations:1.0.0:jar,Apache License 2.0,http://www.gwtproject.org/jsinterop-annotations/,binary,
jsoup Java HTML Parser,org.jsoup:jsoup:1.16.1:jar,MIT License,https://jsoup.org/license,binary,
JSR 305 Annotations,com.atlassian.bundles:jsr305:1.1:bundle,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
jStyleParser,3.0,GNU Lesser General Public License 3,http://cssbox.sourceforge.net/jstyleparser/,binary,
jta,jta:jta:1.0.1:jar,Sun Public License,,binary,
JUnit,junit:junit:4.13.2:jar,Eclipse Public License 1.0,http://junit.org/license.html,binary,
lucene-extras,com.atlassian:lucene-extras:7.3.1-atlassian-4:jar,Apache 2,https://bitbucket.org/atlassian/lucene-extras,binary,
marionette,1.2.2,MIT License,https://github.com/marionettejs/backbone.marionette,binary,
mockito-core,org.mockito:mockito-core:3.5.13:jar,MIT License,https://github.com/mockito/mockito/wiki/License,binary,
moment,2.0.0,MIT License,http://momentjs.com/,binary,
Objenesis,org.objenesis:objenesis:2.1:jar,Apache License 2.0,https://github.com/easymock/objenesis/blob/master/LICENSE.txt,binary,
oro,oro:oro:2.0.7:jar,Apache License 1.1,,binary,
osworkflow,osworkflow:osworkflow:2.9.0-atlassian-1:jar,Apache License 1.1,,binary,
pell-multipart-request,webwork:pell-multipart-request:1.31.0:jar,Apache License 1.1,,binary,
Protocol Buffers [Core],com.google.protobuf:protobuf-java:3.19.6:bundle,3-clause BSD license,https://github.com/protocolbuffers/protobuf/blob/v3.19.6/LICENSE,binary,
Protocol Buffers [Core],com.google.protobuf:protobuf-java:3.21.9:bundle,3-clause BSD license,https://github.com/protocolbuffers/protobuf/blob/v3.19.4/LICENSE,binary,
raphael,2.1.0,MIT License,http://raphaeljs.com/,binary,
select2,3.5.2,Apache License 2.0,http://ivaynberg.github.io/select2/,binary,
Sisu Guice - Core Library,org.sonatype.sisu:sisu-guice:3.1.8:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Sisu Guice - Extensions - AssistedInject,org.sonatype.sisu.inject:guice-assistedinject:3.1.8:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Sisu Guice - Extensions - MultiBindings,org.sonatype.sisu.inject:guice-multibindings:3.1.8:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
SLF4J API Module,org.slf4j:slf4j-api:1.7.25:jar,MIT License,http://www.opensource.org/licenses/mit-license.php,binary,
soyutils,1.1.3,Apache License 2.0,https://code.google.com/p/closure-templates/,binary,
spinjs,1.2.7,MIT License,http://fgnass.github.io/spin.js,binary,
Spring AOP,org.springframework:spring-aop:5.3.29:jar,Apache License 2.0,https://github.com/spring-projects/spring-framework,binary,
Spring Beans,org.springframework:spring-beans:5.3.29:jar,Apache License 2.0,https://github.com/spring-projects/spring-framework,binary,
Spring Commons Logging Bridge,org.springframework:spring-jcl:5.3.29:jar,Apache License 2.0,https://github.com/spring-projects/spring-framework,binary,
Spring Context,org.springframework:spring-context:5.3.29:jar,Apache License 2.0,https://github.com/spring-projects/spring-framework,binary,
Spring Core,org.springframework:spring-core:5.3.29:jar,Apache License 2.0,https://github.com/spring-projects/spring-framework,binary,
Spring Expression Language (SpEL),org.springframework:spring-expression:5.3.29:jar,Apache License 2.0,https://github.com/spring-projects/spring-framework,binary,
Spring TestContext Framework,org.springframework:spring-test:5.3.29:jar,Apache License 2.0,https://github.com/spring-projects/spring-framework,binary,
StAX API,stax:stax-api:1.0.1:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Tink Cryptography API,com.google.crypto.tink:tink:1.10.0:jar,Apache License 2.0,http://github.com/tink-crypto/tink-java,binary,
urijs,1.19.1,MIT License,https://raw.githubusercontent.com/medialize/URI.js/5e238954980476ba4921998199bccdfb50b833a8/LICENSE.txt,binary,
Velocity HtmlSafe,com.atlassian.velocity.htmlsafe:velocity-htmlsafe:4.0.1:jar,Apache License -  Version 2.0,https://www.atlassian.com/public-pom/velocity-htmlsafe/,binary,
Vibur Database Connections Pool,org.vibur:vibur-dbcp:9.0:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Vibur Object Pool,org.vibur:vibur-object-pool:9.0:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
vinnie,com.github.mangstadt:vinnie:2.0.2:bundle,MIT License,https://github.com/mangstadt/vinnie/,binary,
Web Fragments API for Atlassian Plugins,com.atlassian.plugins:atlassian-plugins-webfragment-api:5.3.0:jar,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webfragment-parent/atlassian-plugins-webfragment-api/,binary,
Web Fragments for Atlassian Plugins,com.atlassian.plugins:atlassian-plugins-webfragment:6.0.1:jar,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webfragment-parent/atlassian-plugins-webfragment/,binary,
XmlBeans,org.apache.xmlbeans:xmlbeans:2.6.0:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
